# mem-diff: /tmp/w3-mem-before-e3.snap -> /tmp/w3-mem-after-e3.snap
# 131 regions in before, 131 in after
REGION_ONLY_IN_BEFORE addr=0x100508000 size=16384
REGION_ONLY_IN_BEFORE addr=0x10050c000 size=16384
REGION_ONLY_IN_BEFORE addr=0x10051c000 size=32768
REGION_ONLY_IN_BEFORE addr=0x100554000 size=16384
REGION_ONLY_IN_BEFORE addr=0x100558000 size=16384
REGION_ONLY_IN_BEFORE addr=0x10055c000 size=16384
REGION_ONLY_IN_BEFORE addr=0x100560000 size=16384
REGION_ONLY_IN_BEFORE addr=0x100564000 size=32768
DIFF addr=0x10056c72f len=22 region=0x10056c000+1839 prot=0x705 before=9010e22d91f023c1dae10310aaa0831ff8a8031ff860 after=00000000000000000000000000000000000000000000
DIFF addr=0x10056c747 len=1 region=0x10056c000+1863 prot=0x705 before=90 after=00
DIFF addr=0x10056c74b len=3 region=0x10056c000+1867 prot=0x705 before=913001 after=000000
DIFF addr=0x10056c74f len=2 region=0x10056c000+1871 prot=0x705 before=9460 after=0000
DIFF addr=0x10056c753 len=1 region=0x10056c000+1875 prot=0x705 before=90 after=00
DIFF addr=0x10056c755 len=1 region=0x10056c000+1877 prot=0x705 before=40 after=00
DIFF addr=0x10056c757 len=3 region=0x10056c000+1879 prot=0x705 before=913101 after=000000
DIFF addr=0x10056c75b len=2 region=0x10056c000+1883 prot=0x705 before=9468 after=0000
DIFF addr=0x10056c75f len=7 region=0x10056c000+1887 prot=0x705 before=90082940f9c802 after=00000000000000
DIFF addr=0x10056c767 len=2 region=0x10056c000+1895 prot=0x705 before=b401 after=0000
DIFF addr=0x10056c76b len=2 region=0x10056c000+1899 prot=0x705 before=1468 after=0000
DIFF addr=0x10056c76f len=10 region=0x10056c000+1903 prot=0x705 before=90082940f9a8831ef8ee after=00000000000000000000
DIFF addr=0x10056c77b len=3 region=0x10056c000+1915 prot=0x705 before=94e00f after=000000
DIFF addr=0x10056c77f len=7 region=0x10056c000+1919 prot=0x705 before=f9a8835ff8e813 after=00000000000000
DIFF addr=0x10056c787 len=3 region=0x10056c000+1927 prot=0x705 before=f92901 after=000000
DIFF addr=0x10056c78b len=11 region=0x10056c000+1931 prot=0x705 before=94eb0f40f9ea1340f9e803 after=0000000000000000000000
DIFF addr=0x10056c797 len=7 region=0x10056c000+1943 prot=0x705 before=aaa0835ef8e903 after=00000000000000
DIFF addr=0x10056c79f len=3 region=0x10056c000+1951 prot=0x705 before=912b01 after=000000
DIFF addr=0x10056c7a3 len=3 region=0x10056c000+1955 prot=0x705 before=f92a05 after=000000
DIFF addr=0x10056c7a7 len=3 region=0x10056c000+1959 prot=0x705 before=f92809 after=000000
DIFF addr=0x10056c7ab len=2 region=0x10056c000+1963 prot=0x705 before=f901 after=0000
DIFF addr=0x10056c7af len=7 region=0x10056c000+1967 prot=0x705 before=90211c37912201 after=00000000000000
DIFF addr=0x10056c7b7 len=2 region=0x10056c000+1975 prot=0x705 before=9401 after=0000
DIFF addr=0x10056c7bb len=2 region=0x10056c000+1979 prot=0x705 before=1460 after=0000
DIFF addr=0x10056c7bf len=1 region=0x10056c000+1983 prot=0x705 before=90 after=00
DIFF addr=0x10056c7c1 len=1 region=0x10056c000+1985 prot=0x705 before=40 after=00
DIFF addr=0x10056c7c3 len=3 region=0x10056c000+1987 prot=0x705 before=912201 after=000000
DIFF addr=0x10056c7c7 len=11 region=0x10056c000+1991 prot=0x705 before=94a0835ff8a1035ff82701 after=0000000000000000000000
DIFF addr=0x10056c7d3 len=34 region=0x10056c000+2003 prot=0x705 before=94fd7b44a9ff430191ff0f5fd67f2303d5ff4301d1fd7b04a9fd030191e80301 after=0000000000000000000000000000000000000000000000000000000000000000
DIFF addr=0x10056c7f7 len=22 region=0x10056c000+2039 prot=0x705 before=9010e22d91f023c1dae10310aaa0831ff8a8031ff860 after=00000000000000000000000000000000000000000000
DIFF addr=0x10056c80f len=1 region=0x10056c000+2063 prot=0x705 before=90 after=00
DIFF addr=0x10056c813 len=2 region=0x10056c000+2067 prot=0x705 before=91fe after=0000
DIFF addr=0x10056c817 len=2 region=0x10056c000+2071 prot=0x705 before=9460 after=0000
DIFF addr=0x10056c81b len=1 region=0x10056c000+2075 prot=0x705 before=90 after=00
DIFF addr=0x10056c81d len=1 region=0x10056c000+2077 prot=0x705 before=40 after=00
DIFF addr=0x10056c81f len=2 region=0x10056c000+2079 prot=0x705 before=91ff after=0000
DIFF addr=0x10056c823 len=2 region=0x10056c000+2083 prot=0x705 before=9468 after=0000
DIFF addr=0x10056c827 len=7 region=0x10056c000+2087 prot=0x705 before=90082940f9c802 after=00000000000000
DIFF addr=0x10056c82f len=2 region=0x10056c000+2095 prot=0x705 before=b401 after=0000
DIFF addr=0x10056c833 len=2 region=0x10056c000+2099 prot=0x705 before=1468 after=0000
DIFF addr=0x10056c837 len=10 region=0x10056c000+2103 prot=0x705 before=90082940f9a8831ef8bc after=00000000000000000000
DIFF addr=0x10056c843 len=3 region=0x10056c000+2115 prot=0x705 before=94e00f after=000000
DIFF addr=0x10056c847 len=7 region=0x10056c000+2119 prot=0x705 before=f9a8835ff8e813 after=00000000000000
DIFF addr=0x10056c84f len=2 region=0x10056c000+2127 prot=0x705 before=f9f7 after=0000
DIFF addr=0x10056c853 len=11 region=0x10056c000+2131 prot=0x705 before=94eb0f40f9ea1340f9e803 after=0000000000000000000000
DIFF addr=0x10056c85f len=7 region=0x10056c000+2143 prot=0x705 before=aaa0835ef8e903 after=00000000000000
DIFF addr=0x10056c867 len=3 region=0x10056c000+2151 prot=0x705 before=912b01 after=000000
DIFF addr=0x10056c86b len=3 region=0x10056c000+2155 prot=0x705 before=f92a05 after=000000
DIFF addr=0x10056c86f len=3 region=0x10056c000+2159 prot=0x705 before=f92809 after=000000
