# mem-diff: /tmp/w3-mem-before-e6.snap -> /tmp/w3-mem-after-e6.snap
# 130 regions in before, 132 in after
REGION_ONLY_IN_BEFORE addr=0x1049c4000 size=16384
REGION_ONLY_IN_BEFORE addr=0x1049c8000 size=16384
REGION_ONLY_IN_BEFORE addr=0x1049d8000 size=32768
REGION_ONLY_IN_BEFORE addr=0x104a10000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a14000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a18000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a1c000 size=16384
REGION_ONLY_IN_BEFORE addr=0x104a20000 size=32768
REGION_ONLY_IN_BEFORE addr=0x104a28000 size=16384
DIFF addr=0x104a2c446 len=2 region=0x104a2c000+1094 prot=0x301 before=0000 after=1438
DIFF addr=0x104a2c44b len=1 region=0x104a2c000+1099 prot=0x301 before=00 after=01
DIFF addr=0x104a2c44d len=1 region=0x104a2c000+1101 prot=0x301 before=00 after=04
DIFF addr=0x104a2c452 len=2 region=0x104a2c000+1106 prot=0x301 before=0000 after=13a2
DIFF addr=0x104a2c456 len=2 region=0x104a2c000+1110 prot=0x301 before=0000 after=143d
DIFF addr=0x104a2c45b len=1 region=0x104a2c000+1115 prot=0x301 before=00 after=01
DIFF addr=0x104a2c45d len=1 region=0x104a2c000+1117 prot=0x301 before=00 after=08
DIFF addr=0x104a2c462 len=2 region=0x104a2c000+1122 prot=0x301 before=0000 after=018e
DIFF addr=0x104a2c466 len=2 region=0x104a2c000+1126 prot=0x301 before=0000 after=0217
DIFF addr=0x104a2c46e len=2 region=0x104a2c000+1134 prot=0x301 before=0000 after=0220
DIFF addr=0x104a2c472 len=2 region=0x104a2c000+1138 prot=0x301 before=0000 after=018e
DIFF addr=0x104a2c476 len=2 region=0x104a2c000+1142 prot=0x301 before=0000 after=023b
DIFF addr=0x104a2c47e len=2 region=0x104a2c000+1150 prot=0x301 before=0000 after=0244
DIFF addr=0x104a2c482 len=2 region=0x104a2c000+1154 prot=0x301 before=0000 after=018e
DIFF addr=0x104a2c486 len=2 region=0x104a2c000+1158 prot=0x301 before=0000 after=0265
DIFF addr=0x104a2c48e len=2 region=0x104a2c000+1166 prot=0x301 before=0000 after=0220
DIFF addr=0x104a2c492 len=2 region=0x104a2c000+1170 prot=0x301 before=0000 after=018e
DIFF addr=0x104a2c496 len=2 region=0x104a2c000+1174 prot=0x301 before=0000 after=026e
DIFF addr=0x104a2c49e len=2 region=0x104a2c000+1182 prot=0x301 before=0000 after=0220
DIFF addr=0x104a2c4a2 len=2 region=0x104a2c000+1186 prot=0x301 before=0000 after=018e
DIFF addr=0x104a2c4a6 len=2 region=0x104a2c000+1190 prot=0x301 before=0000 after=0277
DIFF addr=0x104a2c4ae len=2 region=0x104a2c000+1198 prot=0x301 before=0000 after=0220
